Current Population,Population Growth Rate,Internal Migration,Overseas Migration,Population Density,Dwellings Approved 2022-23,Dwellings Approved 2023-24,Approval Value 2022-23,Approval Value 2023-24,Approval Growth Rate,20yr Population Growth,10yr Population Growth,5yr Population Growth,Growth Acceleration,Consecutive Growth Years,2025-26 Approvals FYTD,SEIFA Disadvantage Index,SEIFA Advantage Index,SEIFA Economic Index,SEIFA Education Index,sa2_name
2.8105278,-0.066120364,0.12115076,-0.0029933455,2.1346138,5.4223866,4.5629797,2.779055,-0.07800728,-0.45058832,-0.72360045,0.914146,0.4137976,0.7434774,0.596778,12.844104,0.7643297,0.21302067,1.6415929,0.25821194,Goulburn
0.68721664,0.035512693,-0.11245367,-0.73917615,-0.7338,3.7326913,6.9482245,1.3534886,0.56850857,-0.21726854,0.18842079,0.11504165,0.0012616335,-0.07408467,1.0263038,8.260491,0.23250842,0.7596181,0.039459582,-0.6620689,Goulburn Surrounds
-1.0182296,-1.0378736,-0.13976227,-1.0168089,0.58828735,-5.1156764,6.6858025,0.6501068,0.2729152,1.1181524,0.9473267,-1.0286286,-1.1661805,0.2633802,0.33129343,-0.94201267,0.18707338,0.23559107,-1.2013648,-1.1854788,Yass
1.0630916,0.5209155,0.06899572,0.38294193,-0.066430695,3.3249938,4.6630516,3.4429357,0.5580971,0.9257352,1.1177157,0.8734257,0.57882524,-0.40567258,1.5661108,7.585049,-0.2996356,-0.031273987,0.6627297,0.643574,Yass Surrounds
0.38158214,-0.43278742,0.29415095,-0.47132623,-1.1519203,0.14375187,4.085383,0.15851662,0.06827101,1.4717723,-0.89306015,-0.8821611,-0.27067727,0.66102076,0.23893228,2.9081216,0.43381462,-0.9006521,1.8493896,-0.27733347,Young
-1.6434357,-0.7730354,-0.101929426,-0.6203787,-1.0555518,-5.942989,1.9020122,-1.7773037,-0.11749086,0.743432,-0.8408697,-0.72550786,-0.41939044,-0.25825337,-1.1510868,-5.4473314,-0.021171007,0.19101247,0.35765216,-0.3285971,Young Surrounds
-1.9509585,-0.70347154,-0.10977943,0.45238435,0.4536406,2.6934059,0.6615102,2.4385965,-0.35959554,-1.0909823,-0.61418927,-1.085888,-0.70260376,-0.06828758,-0.7944025,-2.4389389,-0.83558536,-0.327826,-1.310595,0.05190567,Avoca Beach - Copacabana
1.3698707,-0.59891874,-0.24052745,0.48608464,0.70443434,-0.971585,1.9560055,1.3328574,-0.3737194,0.8816717,-0.2789671,-0.8512539,-1.3886392,-0.47388318,-0.05600516,-4.2457533,-0.2660901,-0.037364222,-0.45205122,-0.5804894,Box Head - MacMasters Beach
-2.0868435,-0.2422518,0.014686494,-0.74006474,-0.694853,-4.706132,-11.486485,-0.9467058,-0.3820598,-0.16825034,-0.48209,-0.6924988,-0.73738176,-0.24003203,-0.40147588,-7.31417,0.1207746,-0.1784637,-0.17290042,0.2418694,Calga - Kulnura
2.4734294,-0.72699004,-1.2715777,-0.5716329,1.0550077,-7.8825083,5.68656,0.9238009,1.0044231,-1.9155366,-0.8606559,-0.9863239,-0.5122932,-0.017938629,9.838467e-05,-10.366371,-0.79255456,-0.33372027,-0.29638728,-0.05184009,Erina - Green Point
