Current Population,Population Growth Rate,Internal Migration,Overseas Migration,Population Density,Dwellings Approved 2022-23,Dwellings Approved 2023-24,Approval Value 2022-23,Approval Value 2023-24,Approval Growth Rate,20yr Population Growth,10yr Population Growth,5yr Population Growth,Growth Acceleration,Consecutive Growth Years,2025-26 Approvals FYTD,SEIFA Disadvantage Index,SEIFA Advantage Index,SEIFA Economic Index,SEIFA Education Index,sa2_name
0.6931954,-0.15433,-0.048067667,0.29570273,-0.57020223,0.64561564,1.7109945,0.21037431,0.018331,0.06725989,-0.41660708,-0.13250661,-0.105012506,-0.1652903,-0.023059465,0.05633367,-0.29904473,0.010489691,-0.315717,-0.23966385,Karabar
0.54085666,-0.25161406,0.011557285,0.35140917,-1.1230023,0.5372785,1.4413428,0.22759376,0.0011704497,-0.15361561,-0.2165119,-0.029920744,-0.16759558,-0.21230832,-0.00850666,0.67445225,-0.22687641,-0.055168573,-0.4536805,-0.21100007,Queanbeyan
0.48155785,-0.183069,-0.00897393,0.26355687,-1.4979793,0.5671596,1.3542117,0.064297654,-0.0067449515,-0.46666193,-0.17367694,-0.03436568,-0.12718636,-0.1665453,-0.04962685,0.54591817,-0.16087954,-0.22883478,-0.3451466,-0.24492182,Queanbeyan - East
0.53236985,-0.100078866,-0.021669056,0.2996321,-1.2556437,0.58604544,1.5815961,0.11306696,0.030628076,0.024044655,-0.20343551,-0.11160918,-0.09941046,-0.17476371,-0.019387605,0.6146318,-0.24147563,-0.09550382,-0.3074642,-0.25003088,Queanbeyan West - Jerrabomberra
0.5238814,0.26200968,0.6638066,0.27000093,-1.1243423,0.5619277,1.6424997,0.2255861,0.170869,0.098616235,-0.026124021,-0.12134691,-0.23568097,-0.07269527,-0.09337417,0.6706349,-0.22856358,-0.17539825,-0.2643716,-0.28837356,Googong
0.57301253,0.25066927,0.68965954,0.3175706,-1.0066549,0.60370106,1.6403644,0.2591286,0.11105756,0.15556113,-0.1957872,-0.048018396,0.07338893,-0.06866025,-0.05722231,0.864675,-0.1937159,-0.16964515,-0.31773722,-0.27241346,Queanbeyan Surrounds
0.48378077,-0.009794526,0.0577568,0.23098792,0.19954886,0.4757209,1.3376698,0.08208454,0.13179022,-0.122296095,-0.19716409,0.009222145,-0.09594045,-0.15088296,-0.03708259,1.1181356,-0.24478452,-0.14992483,-0.22921725,-0.24518363,Bombala
0.53472483,-0.3147954,-0.06591243,0.3262108,-1.2388657,0.5700223,1.5401704,0.15493767,0.021219175,0.09859608,-0.28153154,-0.12122882,-0.074458666,-0.16841131,-0.024393484,0.6349045,-0.20742641,-0.02769058,-0.3423885,-0.2349686,Cooma
0.5042854,-0.15256183,-0.004280213,0.21840315,0.16119738,0.507969,1.5664666,0.1266984,0.043201365,0.03890851,-0.1719712,0.07080522,-0.12421657,-0.13371639,-0.03688738,1.2479287,-0.20665923,-0.18301067,-0.25468647,-0.2172974,Cooma Surrounds
0.55860144,0.24292453,0.68406767,0.2968676,-0.99681735,0.58040124,1.5518442,0.14276746,0.09467394,0.23041406,-0.19966559,-0.056560244,0.092934474,-0.17657061,-0.06655711,0.8245603,-0.20652194,-0.2259035,-0.3238441,-0.28517267,Jindabyne - Berridale
