sa2_name,state,pressure_score,erp_change_pct,growth_20yr,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,total_dwellings_2023-24,lat,lon
Horsley - Kembla Grange,NSW,99.8,4.1,1.295421215577644,22,134.0,1048.0,1068.0,-34.49,150.7761111
Banjup,WA,99.8,4.3,3.23432884804726,22,119.0,1073.0,1064.0,-32.1565753,115.8878241
Wallan,VIC,99.8,8.1,2.589238347859037,22,368.0,1017.0,3588.0,-37.4168041,145.0052646
Piara Waters - Forrestdale,WA,99.8,6.2,15.625404530744335,20,306.0,1082.0,1354.0,-32.1251145,115.9178022
Lockyer Valley - East,QLD,99.8,2.7,0.7811718335480937,22,113.0,939.0,580.0,-27.680931,152.199498
Warragul,VIC,99.8,2.0,0.753731343283582,22,156.0,1010.0,682.0,-38.1588674,145.933629
Grovedale - Mount Duneed,VIC,99.8,4.2,1.0856542301629006,22,264.0,1031.0,1102.0,-38.2021549,144.3312609
Rockbank - Mount Cottrell,VIC,99.8,12.21800000000003,16.825099375354913,22,503.130000000001,1035.0,3739.0800000000017,-37.7312767,144.6607316
Manor Lakes - Quandong,VIC,99.8,4.8,20.0,22,199.0,1041.0,1696.0,-37.8686285,144.5950127
Oran Park,NSW,99.8,6.8,20.0,18,458.0,1035.0,2024.0,-33.9948805,150.7402568
Burpengary,QLD,99.8,2.8,0.6267252747252747,21,260.0,988.0,900.0,-27.1548645,152.9708226
Werribee - West,VIC,99.8,8.6,1.8965680697762608,21,503.130000000001,1007.0,3739.0800000000017,-31.7763065,116.361842
Yarrabilba,QLD,99.8,10.7,20.0,18,175.0,928.0,2344.0,-27.8030098,153.1081584
Maclean - Yamba - Iluka,NSW,99.8,2.1,0.2703342618384401,22,235.0,967.0,1500.0,-29.4566667,153.2011111
Greenbank - North Maclean,QLD,99.8,12.21800000000003,1.1123318810380751,22,394.0,1010.0,2364.0,-27.76144,152.996407
Goolwa - Port Elliot,SA,99.8,1.9,0.7064638783269962,22,100.0,965.0,632.0,-35.5087114,138.7428321
Wyndham Vale - North,VIC,99.8,10.5,8.60453216374269,22,267.0,980.0,2764.0,-37.8722432,144.6084185
Mango Hill,QLD,99.8,3.6,7.791082164328658,22,80.0,1037.0,1020.0,-27.2394237,153.0346031
Warrnambool - North,VIC,99.8,0.7,0.343790313123021,22,148.0,994.0,752.0,-33.8523849,151.2472022
Wolffdene - Bahrs Scrub,QLD,99.8,8.0,1.88328530259366,22,76.0,1026.0,900.0,-27.7826428,153.1726303
Warnervale - Wadalba,NSW,99.8,3.0,3.940110497237569,22,123.0,1002.0,1396.0,-33.2483333,151.4311111
Brabham - Henley Brook,WA,99.8,10.5,12.689982728842832,19,503.130000000001,1041.0,2636.0,-31.8283583,115.9764153
Douglas Park - Appin,NSW,99.8,5.4,1.0187429310066247,22,272.0,1074.0,1900.0,-34.19,150.7011111
Narangba,QLD,99.8,3.0,1.8804780876494025,22,177.0,1039.0,860.0,-27.2027145,152.9592212
Riverstone,NSW,99.8,9.6,1.5854694996572996,17,303.0,1022.0,3068.0,-33.6797545,150.8616695
Morayfield,QLD,99.8,7.3,0.6198955365622032,18,415.0,1019.0,2184.0,-27.1102549,152.948924
Deception Bay,QLD,99.8,1.6,0.4364867272403349,19,272.0,899.0,1924.0,-27.1931635,153.0274736
Kingswood - Werrington,NSW,99.8,4.4,0.7440384615384615,19,101.0,964.0,1728.0,-33.7579649,150.7392893
Maroochydore - Kuluin,QLD,99.8,2.4,0.6991957104557641,22,260.0,1001.0,1376.0,-26.6603562,153.0678969
Landsborough,QLD,99.8,7.4,1.8449441302248584,21,281.0,1042.0,1816.0,-26.809659,152.9907408
Albury - East,NSW,99.8,4.3,1.0307101727447217,22,106.0,1035.0,1052.0,-36.079176,146.92919
