sa2_code,sa2_name,state,sa4_name,composite_score_final,v9_national_rank,high_pressure_v9,urban_renewal_score,years_of_growth
207011146,Ashburton (Vic.),VIC,Melbourne - Inner East,3.9157821921997322,748,0,0.11702232051252567,20
208031186,Chelsea - Bonbeach,VIC,Melbourne - Inner South,3.91457623122222,749,0,0.12713354139213512,21
310011275,Oxley (Qld),QLD,Ipswich,3.912866854281403,750,0,0.13353956385717203,22
601011003,Old Beach - Otago,TAS,Hobart,3.9111750306022617,751,0,0.1673979367268967,22
505031107,Tapping - Ashby - Sinagra,WA,Perth - North West,3.9080682885308105,752,0,0.16653611924669534,20
306051170,Mareeba,QLD,Cairns,3.9062356706824333,753,0,0.09255456384216186,22
303061078,Runcorn,QLD,Brisbane - South,3.90517378368424,754,0,0.09329036258952067,17
701021012,Berrimah,NT,Darwin,3.8996982160018048,755,0,0.0935079403929166,13
117031333,Potts Point - Woolloomooloo,NSW,Sydney - City and Inner South,3.8957672711044475,756,0,0.23928108903759873,17
204021066,Wangaratta,VIC,Hume,3.8931150412373703,757,0,0.18425152268487796,21
107041146,Figtree - Keiraville,NSW,Illawarra,3.88865822571917,758,0,0.1984706986216715,21
114011276,Huskisson - Vincentia,NSW,Southern Highlands and Shoalhaven,3.8814387122432676,759,0,0.2087711567796538,21
125041588,Pendle Hill - Girraween,NSW,Sydney - Parramatta,3.880662127692145,760,0,0.1778638102101793,20
504031062,Lockridge - Kiara,WA,Perth - North East,3.8802255583284113,761,0,0.10832257365851117,20
210011226,Airport West,VIC,Melbourne - North West,3.8792170236562304,762,0,0.14269646694625257,17
506011307,Harrisdale,WA,Perth - South East,3.8772369727960463,763,0,0.10846326450307793,18
506031131,Willetton,WA,Perth - South East,3.8738586985730605,764,0,0.1184307358441196,15
210031537,Oak Park,VIC,Melbourne - North West,3.8738521249889484,765,0,0.12118637156624845,18
303021053,Coorparoo,QLD,Brisbane - South,3.872052488353397,766,0,0.12662363095320964,21
117031646,Ultimo,NSW,Sydney - City and Inner South,3.869598165239389,767,0,0.0023094010767585036,17
311061335,Underwood,QLD,Logan - Beaudesert,3.8612828361342935,768,0,0.15000818896552895,21
119011356,Condell Park,NSW,Sydney - Inner South West,3.858857616931542,769,0,0.1671014148003832,21
505021094,Trigg - North Beach - Watermans Bay,WA,Perth - North West,3.852673841871409,770,0,0.10875985568988142,22
401031011,Burnside - Wattle Park,SA,Adelaide - Central and Hills,3.8520444725102143,771,0,0.15449051690802754,21
206021499,Northcote - East,VIC,Melbourne - Inner,3.8514465236148743,772,0,0.1891569436379426,20
205021086,Paynesville,VIC,Latrobe - Gippsland,3.8489837438044168,773,0,0.14852246700231425,22
307031189,Warwick,QLD,Darling Downs - Maranoa,3.8431618786953585,774,0,0.235738004618064,19
402041040,Ingle Farm,SA,Adelaide - North,3.836678457200343,775,0,0.16185332248059217,20
116011304,Blacktown (North) - Marayong,NSW,Sydney - Blacktown,3.8316385611782966,776,0,0.1375790779077574,18
405041126,Wallaroo,SA,Barossa - Yorke - Mid North,3.8295229690813564,777,0,0.08692611397326111,22
127021513,Canley Vale - Canley Heights,NSW,Sydney - South West,3.8284532401687317,778,0,0.2431497020561788,17
504011046,Maylands,WA,Perth - North East,3.82757998420386,779,0,0.073489742113034,17
212041310,Clayton South,VIC,Melbourne - South East,3.8225684245785616,780,0,0.0799957530398876,18
111031226,Maryland - Fletcher - Minmi,NSW,Newcastle and Lake Macquarie,3.822464290811816,781,0,0.16712202370473062,22
207021424,Doncaster East - North,VIC,Melbourne - Inner East,3.81941388389642,782,0,0.25198318227705485,13
507041183,Willagee,WA,Perth - South West,3.8148432043360785,783,0,0.17818887861365199,19
306021144,Bentley Park,QLD,Cairns,3.814198218838997,784,0,0.1319150419204259,20
114011282,Ulladulla,NSW,Southern Highlands and Shoalhaven,3.8141785841365228,785,0,0.2164392256518687,22
306051169,Malanda - Yungaburra,QLD,Cairns,3.810904323433635,786,0,0.11876983317933319,22
509011225,Albany,WA,Western Australia - Wheat Belt,3.8097352340949984,787,0,0.14294061784071646,21
303011049,Carina,QLD,Brisbane - South,3.809392362758146,788,0,0.12100701285468045,21
111011209,Glendale - Cardiff - Hillsborough,NSW,Newcastle and Lake Macquarie,3.797339932938969,789,0,0.19921736561815903,18
205021081,Bairnsdale,VIC,Latrobe - Gippsland,3.797235400987514,790,0,0.22946529506371818,21
125041719,Rosehill - Harris Park,NSW,Sydney - Parramatta,3.791027792096011,791,0,0.2675614018059478,17
213031351,West Footscray - Tottenham,VIC,Melbourne - West,3.78962756503173,792,0,0.15811622059375074,19
507031174,Parmelia - Orelia,WA,Perth - South West,3.789149731594654,793,0,0.21054248487029117,16
210011534,Keilor East,VIC,Melbourne - North West,3.7856116598520244,794,0,0.20791345236403305,16
504021054,Swan View - Greenmount - Midvale,WA,Perth - North East,3.7834745291012015,795,0,0.13757537708429154,13
111031233,Wallsend - Elermore Vale,NSW,Newcastle and Lake Macquarie,3.781460874691743,796,0,0.22657376686495137,20
801061064,Griffith (ACT),ACT,Australian Capital Territory,3.780268438038797,797,0,0.20210485431198652,17
211011256,Rowville - Central,VIC,Melbourne - Outer East,3.7771691964247007,798,0,0.37949588113208027,11
