sa2_code,sa2_name,state,sa4_name,v9_score,v9_rank,high_pressure_v9,saturation_index,v10_score,v10_rank,top_3_drivers,sa4_rank,high_pressure_pct
118021652,Malabar - La Perouse,NSW,Sydney - Eastern Suburbs,3.024168653926659,1137,0,0.020811347874998845,2.9612316280371243,1160,erp_change_pct: -1.623 | lot_approvals_2yr: -1.622 | total_dwellings_2024-25: -1.262,56,4.8
801051049,Acton,ACT,Australian Capital Territory,2.965827190008355,1175,0,0.0017160275381552159,2.9607377488768907,1161,total_dwellings_2024-25: -2.551 | urban_renewal_score: -1.754 | erp_change_pct: +1.558,81,6.0
301031018,Tingalpa,QLD,Brisbane - East,2.970856936604871,1172,0,0.003538253999833919,2.9603452901659946,1162,urban_renewal_score: -1.934 | total_dwellings_2024-25: -1.850 | lot_approvals_2yr: -1.099,34,42.9
407011145,Kangaroo Island,SA,South Australia - South East,2.988904922759691,1160,0,0.009604932521103272,2.960196692664591,1163,urban_renewal_score: -2.119 | erp_change_pct: -1.634 | total_dwellings_2024-25: -1.088,63,17.9
103041076,Blayney,NSW,Central West,2.977553868231821,1166,0,0.005864918753743213,2.960090756709748,1164,urban_renewal_score: -2.063 | total_dwellings_2024-25: -2.024 | lot_approvals_2yr: -1.104,80,4.3
213051587,Truganina - South East,VIC,Melbourne - West,3.04486663877538,1123,0,0.02836105285772691,2.9585110150883422,1165,total_dwellings_2024-25: -2.344 | urban_renewal_score: -2.006 | lot_approvals_2yr: -1.303,8,37.7
505011071,Currambine - Kinross,WA,Perth - North West,2.971246176893608,1170,0,0.004511194681842283,2.9578423069419615,1166,total_dwellings_2024-25: -1.222 | urban_renewal_score: -1.206 | erp_change_pct: -1.158,22,30.4
112021249,Lismore Surrounds,NSW,Richmond - Tweed,2.9709509918788317,1171,0,0.00605116044381764,2.952973290756254,1167,urban_renewal_score: -2.081 | total_dwellings_2024-25: -1.815 | erp_change_pct: -1.377,52,18.2
504031067,Stratton - Jane Brook,WA,Perth - North East,2.9694944870192552,1173,0,0.007099309785624593,2.9484131257492012,1168,urban_renewal_score: -2.047 | total_dwellings_2024-25: -1.964 | lot_approvals_2yr: -1.025,37,35.7
208031185,Carrum - Patterson Lakes,VIC,Melbourne - Inner South,2.9759904223610785,1168,0,0.009446259016729214,2.9478784460001504,1169,urban_renewal_score: -1.978 | erp_change_pct: -1.581 | peak_year_approvals: -1.024,6,55.2
601011002,Brighton - Pontville,TAS,Hobart,2.966244603807463,1174,0,0.007298784799675774,2.9445946227810724,1170,total_dwellings_2024-25: -2.334 | urban_renewal_score: -2.019 | lot_approvals_2yr: -1.175,72,5.9
